Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
73416,2026,LCK,KT Rolster,HANJIN BRION,KT Rolster,KT Rolster,Kennen,Wukong,Zoe,Kaisa,Nautilus,Zaahen,Vi,Ziggs,Miss Fortune,Leona
73675,2026,LCK,DRX,HANJIN BRION,DRX,DRX,Gnar,Xin Zhao,Taliyah,Yunara,Bard,Renekton,Pantheon,Ryze,Ezreal,Braum
73676,2026,LCK,DRX,HANJIN BRION,HANJIN BRION,HANJIN BRION,Ambessa,Vi,Orianna,Kaisa,Neeko,Gwen,Jarvan IV,Azir,Sivir,Karma
73677,2026,LCK,HANJIN BRION,DRX,HANJIN BRION,HANJIN BRION,Aurora,Trundle,Sylas,Aphelios,Thresh,Zaahen,Wukong,Ahri,Zeri,Alistar
73678,2026,LCK,HANJIN BRION,DRX,DRX,HANJIN BRION,Yorick,Sejuani,Akali,Kalista,Renata Glasc,Jax,Malphite,Viktor,Xayah,Rakan
73679,2026,LCK,DRX,HANJIN BRION,DRX,DRX,KSante,Aatrox,Syndra,Jhin,Nautilus,Sion,Nocturne,Zoe,Tristana,Rell
73680,2026,LCK,BNK FearX,DN SOOPers,BNK FearX,DN SOOPers,Renekton,Vi,Azir,Lucian,Nami,Sion,Jarvan IV,Orianna,Yunara,Lulu
73681,2026,LCK,BNK FearX,DN SOOPers,BNK FearX,BNK FearX,Kennen,Xin Zhao,Ryze,Corki,Bard,Ambessa,Wukong,Taliyah,Sivir,Rakan
73682,2026,LCK,BNK FearX,DN SOOPers,DN SOOPers,DN SOOPers,Gnar,Aatrox,Aurora,Ezreal,Rell,KSante,Lee Sin,Syndra,Kaisa,Neeko
73683,2026,LCK,DN SOOPers,BNK FearX,BNK FearX,DN SOOPers,RekSai,Sejuani,Yone,Ziggs,Pantheon,Jax,Lillia,Jayce,Jhin,Leona
73685,2026,LCK,KT Rolster,Nongshim RedForce,Nongshim RedForce,Nongshim RedForce,Ambessa,Vi,Taliyah,Corki,Nautilus,Aatrox,Pantheon,Ryze,Yunara,Neeko
73686,2026,LCK,Nongshim RedForce,KT Rolster,Nongshim RedForce,Nongshim RedForce,Gnar,Xin Zhao,Orianna,Kalista,Renata Glasc,Renekton,Wukong,Azir,Ezreal,Karma
73687,2026,LCK,Nongshim RedForce,KT Rolster,KT Rolster,KT Rolster,KSante,Malphite,Yone,Jinx,Lulu,Zaahen,Dr. Mundo,Ahri,Aphelios,Blitzcrank
73688,2026,LCK,KT Rolster,Nongshim RedForce,KT Rolster,KT Rolster,RekSai,Jax,Akali,Lucian,Braum,Gragas,Jarvan IV,Galio,Caitlyn,Tahm Kench
73689,2026,LCK,KT Rolster,Nongshim RedForce,Nongshim RedForce,Nongshim RedForce,Sion,Nocturne,Syndra,Miss Fortune,Rakan,Olaf,Trundle,Aurora,Kaisa,Shen
73690,2026,LCK,Dplus KIA,T1,T1,T1,Rumble,Xin Zhao,Orianna,Ezreal,Karma,Ambessa,Jarvan IV,Azir,Jhin,Neeko
73691,2026,LCK,T1,Dplus KIA,T1,T1,Sion,Vi,Ryze,Kaisa,Nautilus,Zaahen,Wukong,Anivia,Corki,Alistar
73692,2026,LCK,T1,Dplus KIA,T1,T1,Kennen,Nocturne,Galio,Varus,Rell,Yorick,Pantheon,Ahri,Lucian,Nami
73695,2026,LCK,Gen.G,Hanwha Life Esports,Gen.G,Gen.G,Aurora,Vi,Yone,Yunara,Neeko,KSante,Xin Zhao,Azir,Corki,Rakan
73696,2026,LCK,Gen.G,Hanwha Life Esports,Gen.G,Hanwha Life Esports,Gnar,Aatrox,Galio,Jhin,Bard,Renekton,Jarvan IV,Orianna,Miss Fortune,Rell
73697,2026,LCK,Gen.G,Hanwha Life Esports,Gen.G,Gen.G,Ornn,Pantheon,Cassiopeia,Aphelios,Thresh,Rumble,Trundle,Ryze,Sivir,Alistar
73700,2026,LCK,Axolotl,P11 Esports,Axolotl,Axolotl,Camille,Vi,Twisted Fate,Varus,Neeko,KSante,Jayce,Hwei,Jhin,Karma
73929,2026,LCK,HANJIN BRION,DRX,DRX,DRX,Rumble,Pantheon,Ryze,Corki,Alistar,Ambessa,Xin Zhao,Orianna,Yunara,Nautilus
73930,2026,LCK,DRX,HANJIN BRION,HANJIN BRION,DRX,Gwen,Jarvan IV,Azir,Xayah,Rakan,Aurora,Vi,Taliyah,Ezreal,Elise
73931,2026,LCK,HANJIN BRION,DRX,DRX,DRX,Aatrox,Wukong,Cassiopeia,Aphelios,Lulu,KSante,Zaahen,Galio,Lucian,Sona
73934,2026,LCK,DN SOOPers,KT Rolster,DN SOOPers,DN SOOPers,Gwen,Ambessa,Akali,Ezreal,Neeko,Renekton,Vi,Azir,Corki,Nami
73935,2026,LCK,DN SOOPers,KT Rolster,DN SOOPers,DN SOOPers,RekSai,Lee Sin,Ryze,Yunara,Rell,Sion,Jayce,Taliyah,Caitlyn,Bard
74125,2026,LCK,Dplus KIA,DRX,Dplus KIA,Dplus KIA,Ornn,Jarvan IV,Ahri,Yunara,Lulu,Rumble,Xin Zhao,Taliyah,Corki,Neeko
74126,2026,LCK,Dplus KIA,DRX,Dplus KIA,Dplus KIA,Kennen,Pantheon,Cassiopeia,Lucian,Braum,Sion,Ambessa,Aurora,Ezreal,Nautilus
74128,2026,LCK,DN SOOPers,Nongshim RedForce,Nongshim RedForce,Nongshim RedForce,RekSai,Jayce,Anivia,Corki,Nautilus,Ambessa,Jarvan IV,Ryze,Yunara,Leona
74129,2026,LCK,Nongshim RedForce,DN SOOPers,DN SOOPers,Nongshim RedForce,KSante,Vi,Akali,Lucian,Nami,Rumble,Wukong,Ahri,Xayah,Rakan
74130,2026,LCK,DN SOOPers,Nongshim RedForce,DN SOOPers,Nongshim RedForce,Gwen,Lee Sin,Orianna,Ezreal,Rell,Sion,Xin Zhao,Azir,Kaisa,Alistar
74131,2026,LCK,Team WE,Ninjas in Pyjamas,Ninjas in Pyjamas,N/A,Gwen,Xin Zhao,Ziggs,Yunara,Lulu,Renekton,Qiyana,Azir,Aphelios,Thresh
74132,2026,LCK,Team WE,Ninjas in Pyjamas,Ninjas in Pyjamas,N/A,Rumble,Wukong,Taliyah,Varus,Rakan,Ornn,Ambessa,Ryze,Jhin,Bard
74165,2026,LCK,Nongshim RedForce,DRX,DRX,DRX,Ambessa,Malphite,Orianna,Lucian,Braum,Gwen,Pantheon,Azir,Yunara,Nautilus
74166,2026,LCK,DRX,Nongshim RedForce,DRX,DRX,KSante,Jarvan IV,Syndra,Corki,Alistar,Sion,Vi,Taliyah,Ezreal,Leona
74167,2026,LCK,DRX,Nongshim RedForce,DRX,DRX,Gnar,Xin Zhao,Aurora,Sivir,Karma,Renekton,Wukong,Viktor,Varus,Renata Glasc
